"crypto","usd","usd_market_cap","usd_24h_vol","usd_24h_change","last_updated_at","id","load_date"
ethereum,2494.65,291466449173.3748,37103405280.730385,2.4620474561891577,1622455085,195,"2021-05-31 03:00:04"
dogecoin,0.303369,39385390447.08249,2470361196.3392224,-0.9698459836141374,1622455083,196,"2021-05-31 03:00:04"
dogecoin,0.312253,40538821416.86787,2556384103.350919,2.578761130576474,1622458726,197,"2021-05-31 04:00:16"
litecoin,182.56,12186346112.285795,4531711412.602285,4.015239617090273,1622458712,198,"2021-05-31 04:00:16"
ethereum,2554.45,296079585732.6638,38269977270.41429,5.877247806846034,1622458738,199,"2021-05-31 04:00:16"
bitcoin,36939.0,691595650587.3234,34067791825.905384,3.226236027350666,1622458782,200,"2021-05-31 04:00:16"
dogecoin,0.312857,40617213170.956375,2621705679.7978187,1.9547970516302513,1622462287,201,"2021-05-31 05:00:05"
ethereum,2566.75,297956611312.9008,38774699889.31523,5.127498087482196,1622462358,202,"2021-05-31 05:00:05"
bitcoin,36972.0,692219701648.3284,33843200298.521317,1.8323311205981296,1622462324,203,"2021-05-31 05:00:05"
litecoin,183.38,12241346718.55015,4710222281.03153,2.6330439582433076,1622462268,204,"2021-05-31 05:00:05"
litecoin,181.96,12146554626.672562,4705163350.242658,4.666962338545525,1622465992,205,"2021-05-31 06:00:05"
dogecoin,0.309994,40245498682.496925,2611742475.874267,3.004846356106963,1622465999,206,"2021-05-31 06:00:05"
ethereum,2535.22,293828818739.72314,38572252896.71489,5.882931334559649,1622465999,207,"2021-05-31 06:00:05"
bitcoin,36815.0,689273776377.4321,34429367521.761055,3.6542751826978215,1622465883,208,"2021-05-31 06:00:05"
dogecoin,0.30855,40058025002.35664,2577281244.732531,2.762939865541452,1622469531,209,"2021-05-31 07:00:05"
ethereum,2546.42,295537019917.28876,39053966373.66536,6.280191449048936,1622469518,210,"2021-05-31 07:00:05"
litecoin,181.79,12134880971.02339,4710603526.566126,3.399282969249405,1622469512,211,"2021-05-31 07:00:05"
bitcoin,36900.0,690878739402.0063,35339586873.87336,3.2037588269472868,1622469480,212,"2021-05-31 07:00:05"
dogecoin,0.308719,40079992560.50542,2563718149.050784,3.654029594685814,1622473076,213,"2021-05-31 08:00:04"
bitcoin,36728.0,687654620047.6671,35705042428.28213,3.8643470501622943,1622473043,214,"2021-05-31 08:00:04"
litecoin,179.53,11984047482.890232,4655457677.737976,3.5561065269902152,1622473152,215,"2021-05-31 08:00:04"
ethereum,2548.24,294884634293.72235,39662207456.95655,8.05279138470651,1622473106,216,"2021-05-31 08:00:04"
litecoin,182.67,12193800572.750677,4761192498.9723215,4.431803652151698,1622476612,217,"2021-05-31 09:00:05"
bitcoin,37055.0,693771682705.2876,36618692007.66684,4.240368420799586,1622476795,218,"2021-05-31 09:00:05"
dogecoin,0.312756,40604143953.50446,2625637277.407871,4.334083082858544,1622476630,219,"2021-05-31 09:00:05"
ethereum,2627.86,304722923200.8242,41942290602.65134,10.572470653483064,1622476687,220,"2021-05-31 09:00:05"
litecoin,184.51,12316382796.077955,4823239581.228959,5.912657001269881,1622480391,221,"2021-05-31 10:00:05"
dogecoin,0.313917,40754798815.12413,2657220334.925627,3.8847200226330822,1622480390,222,"2021-05-31 10:00:05"
bitcoin,37122.0,695040552745.9149,37187649954.543495,3.698544159886859,1622480378,223,"2021-05-31 10:00:05"
ethereum,2633.45,306201400497.1403,42468085963.97958,9.479004751037062,1622480300,224,"2021-05-31 10:00:05"
litecoin,182.97,12213535368.197962,4774190403.033934,4.713321166567237,1622483899,225,"2021-05-31 11:00:04"
dogecoin,0.311696,40466506417.06444,2692146199.4426737,2.1600809049405787,1622483879,226,"2021-05-31 11:00:04"
bitcoin,36912.0,691104852893.2092,36954618381.226494,2.484825069743255,1622483831,227,"2021-05-31 11:00:04"
ethereum,2613.7,302087759824.2298,42695170553.6012,7.506495520997027,1622483972,228,"2021-05-31 11:00:04"
litecoin,181.5,12118458244.851154,4749272211.106788,3.5360015426186804,1622487424,229,"2021-05-31 12:00:05"
dogecoin,0.312587,40648274174.79401,2665006437.6639476,1.558981351439041,1622487465,230,"2021-05-31 12:00:05"
bitcoin,36684.0,687633924382.9834,37418758606.41351,1.1360152794081388,1622487461,231,"2021-05-31 12:00:05"
ethereum,2587.14,301013574650.01227,42210481431.210945,4.885806620080125,1622487439,232,"2021-05-31 12:00:05"
ethereum,2622.71,302429631120.3896,42620187637.64569,7.048003217879799,1622491198,233,"2021-05-31 13:00:04"
dogecoin,0.318016,40921619784.0078,2777954684.1272297,3.4048481135765467,1622491185,234,"2021-05-31 13:00:04"
litecoin,182.92,12210272702.830112,4782618899.17961,4.706587923175726,1622491053,235,"2021-05-31 13:00:04"
bitcoin,36875.0,690421498481.522,37702259121.23748,2.1281020828005595,1622491182,236,"2021-05-31 13:00:04"
dogecoin,0.323636,42016606107.77198,2857928251.777756,6.4316289569208065,1622494641,237,"2021-05-31 14:00:06"
ethereum,2608.12,302587450893.33966,42360556318.459236,6.584625418156777,1622494729,238,"2021-05-31 14:00:06"
bitcoin,36652.0,686242366400.366,36636899017.101494,1.3557766026931244,1622494762,239,"2021-05-31 14:00:06"
litecoin,182.18,12160975635.782618,4747886638.460501,4.880806672847535,1622494784,240,"2021-05-31 14:00:06"
